"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000261616151404935,6.76331649828565e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",7.07624458788209e-06,2.75664079920523e-06
"Pre-consumer processes","Subsurface soil (MP)",5.79891865517937e-06,4.21880903653391e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00709131834853265,0.003228751850054
"ConsumerFilms","Soil (MP)",0.000150886578461622,5.61263334962147e-05
"ConsumerFilms","Fresh water",0.000410438791384631,0.000226186572427837
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0,0
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00783187180331926,0.00484060191168554
"ConsumerBags","Soil (MP)",0.000150143056713893,7.10762355651455e-05
"ConsumerBags","Fresh water",0.000458120813512829,0.000338733236712406
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0,0
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00764376097187283,0.00650372100671092
"ConsumerBottles","Soil (MP)",3.04572960932042e-05,1.39072177490495e-05
"ConsumerBottles","Fresh water",0.000459419696191401,0.000463354769640099
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0,0
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00263968416513782,0.00102078017681608
"ConsumerOther","Soil (MP)",3.05079227710976e-05,1.04817060146126e-05
"ConsumerOther","Fresh water",0.000143952094714554,7.05473851569117e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",0,0
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00137738510216918,0.000349048889113372
"AgriculturalPackagingFilms","Soil (MP)",0.000151277776393449,7.18074725452012e-05
"AgriculturalPackagingFilms","Fresh water",5.1112323868277e-06,2.35012085991011e-06
