"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",3.75296512390324e-05,1.44775483848478e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",3.77144306073347e-07,1.94406377273467e-07
"Pre-consumer processes","Subsurface soil (MP)",1.25510040535106e-06,9.19252919050346e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",1.24342518965206e-07,1.63819734052478e-07
"ConsumerFilms","Soil",0.00799094592636247,0.00355201266125102
"ConsumerFilms","Soil (MP)",1.54380194933828e-05,5.81183075203808e-06
"ConsumerFilms","Fresh water",4.47885361015668e-05,2.88332912467436e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0.000422691659230006,0.000221712299968446
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00881920266858937,0.0053663260088409
"ConsumerBags","Soil (MP)",1.53882461183427e-05,7.38270067805798e-06
"ConsumerBags","Fresh water",4.99786495356823e-05,4.47206183968824e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0.000471782155308917,0.000347645475933115
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00909549171705,0.00738107429001351
"ConsumerBottles","Soil (MP)",3.09655117610585e-06,1.43890924715049e-06
"ConsumerBottles","Fresh water",5.1143575256872e-05,5.85601506003495e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0.000487359665760502,0.000468021018693602
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00312160037629603,0.00114259321212254
"ConsumerOther","Soil (MP)",3.113957124267e-06,1.0764247702282e-06
"ConsumerOther","Fresh water",1.58346570130472e-05,8.97294535270099e-06
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",0.000149939393990539,6.94390185022146e-05
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00137474085036404,0.000385304914388899
"AgriculturalPackagingFilms","Soil (MP)",1.54218677955814e-05,7.34233367346345e-06
"AgriculturalPackagingFilms","Fresh water",7.0647564679357e-07,4.09229572552496e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",7.02258510260618e-06,3.1563561650086e-06
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0131149656185275,0.00778000592141761
"AgriculturalPackagingBottles","Soil (MP)",3.10443838776786e-06,1.98323854071465e-06
"AgriculturalPackagingBottles","Fresh water",7.19886055759814e-07,5.57973484840764e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",7.12200166831539e-06,4.34755083211674e-06
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.00186750799652524,0.0014254721695551
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00244859635646857,0.00123800786133982
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000143602876403153,0.000107959038295724
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",0.00130999979686819,0.000814023568725357
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.00242102455008273,0.00151700821134815
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000144293631240341,0.000135815962578505
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",0.00129320341845369,0.000991884930566601
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.00245038107815259,0.000852085745880966
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000144161740826885,7.51629347107958e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",0.00130295346736634,0.000557301082120794
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.99616327915317e-07,1.07094034855737e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.29951946737372e-06,7.51682786572936e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.00120452942389924,0.000865740015915619
"Insulation","Soil (MP)",6.36390065660047e-05,2.00396303766326e-05
"Insulation","Fresh water",2.33324403356499e-05,1.85857588376286e-05
"Insulation","Fresh water (MP)",1.34989551483381e-06,8.48871998086855e-07
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",0.000639475896246416,0.000504833782378027
"Insulation","Coastal and ocean water (MP)",3.47854945453354e-05,1.70215314255986e-05
"WallFloorCoverings","Soil",0.00188727950998019,0.00149729501298746
"WallFloorCoverings","Soil (MP)",0.00025257151493338,0.000212358075033221
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",7.78051326991138e-06,5.83390198465789e-06
"WallFloorCoverings","Subsurface soil (MP)",1.11393327103823e-05,1.06234840809607e-05
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",0.000139920051792736,0.000134082360105036
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.00187851298540554,0.00149135672649447
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000694136378214773,0.00016263191623049
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000570505216983047,0.000209924871609748
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",7.13080044781435e-07,3.59123751671537e-07
"EEEPC","Fresh water (MP)",0,0
