"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.00030809058645968,7.29268469622555e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",8.95980499896236e-06,2.84865266695564e-06
"Pre-consumer processes","Subsurface soil (MP)",4.35654142289121e-06,3.31138385203847e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",5.32466452400001e-07,1.03099359778895e-06
"ConsumerFilms","Soil",0.00379135341448321,0.00161800408113205
"ConsumerFilms","Soil (MP)",0.000125879802435134,4.64017822432097e-05
"ConsumerFilms","Fresh water",0.000105294404932975,6.25947929907207e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",2.06121121024343e-05,1.01897267715853e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00416439514691461,0.00246338655689224
"ConsumerBags","Soil (MP)",0.000127181581046686,6.0772379571731e-05
"ConsumerBags","Fresh water",0.000117444448723967,9.38607969923326e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",2.29660455258794e-05,1.51206278836243e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00410072232118949,0.00331148099594546
"ConsumerBottles","Soil (MP)",2.56929635102875e-05,1.17809647479124e-05
"ConsumerBottles","Fresh water",0.000119715648340742,0.000127979665264857
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",2.32579932235219e-05,2.04300797765506e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00154320847731779,0.000538958707587676
"ConsumerOther","Soil (MP)",2.55238026169201e-05,8.76925636862677e-06
"ConsumerOther","Fresh water",3.71936625624469e-05,1.99888027351849e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",7.51023507420241e-06,3.16044087040944e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00134761358929661,0.000345893812728892
"AgriculturalPackagingFilms","Soil (MP)",0.000126053104691845,5.99435980069176e-05
"AgriculturalPackagingFilms","Fresh water",1.81514379576232e-06,9.38632104755496e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",6.99307684432842e-07,3.04028626133156e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0129850809630288,0.00769809345830843
"AgriculturalPackagingBottles","Soil (MP)",2.5628135259228e-05,1.62652414009313e-05
"AgriculturalPackagingBottles","Fresh water",1.79568920640561e-06,1.25437298209929e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",6.9672129372038e-07,4.07222615819423e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000161259212665625,0.000123680170232503
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000567317930715936,0.000216513462291278
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000110227696656973,7.05708319210191e-05
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",1.43040364621805e-05,8.86642233605461e-06
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.00056467424230427,0.000266371912006656
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000107850640628654,8.45265702061264e-05
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",1.42279157160881e-05,1.08666603699553e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000565078848239053,0.000146839149705699
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000109115830386924,4.76421268400343e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",1.41710966499106e-05,5.98338644844636e-06
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.98928376927786e-07,1.07643189623551e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.30360669920034e-06,7.45222523177322e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000136763260355191,0.000103177416347276
"Insulation","Soil (MP)",7.92921638924847e-05,1.88958085789742e-05
"Insulation","Fresh water",1.03973773182333e-05,8.25424268344526e-06
"Insulation","Fresh water (MP)",8.12588953455164e-06,5.21378310228997e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",1.54206521540472e-05,1.22283002986094e-05
"Insulation","Coastal and ocean water (MP)",1.24156776208176e-05,8.07447574286579e-06
"WallFloorCoverings","Soil",0.000163379225760966,0.000130413013207248
"WallFloorCoverings","Soil (MP)",0.000326106409098996,0.000251075486038246
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",3.60902877302502e-05,3.59076040116592e-05
"WallFloorCoverings","Subsurface soil (MP)",1.11139838571571e-05,1.0622731107832e-05
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",5.11094708448258e-05,5.63155720999657e-05
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.000164120105598255,0.000130858526210525
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000693267097378389,0.0001612632304364
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000399246796915627,0.000152298915512631
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",1.81141864087069e-06,8.23002666069961e-07
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",6.97362816047854e-07,2.65566083683433e-07
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00236914594914314,0.000940083980263243
"AgriculturalFilms","Soil (MP)",0.0253996811590359,0.00647325547996987
"AgriculturalFilms","Fresh water",1.81021716761544e-06,1.242260672299e-06
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",6.96653897228721e-07,4.02271147359879e-07
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0302371592439493,0.0097087913082998
"AgriculturalPipes","Soil (MP)",0.00102421363685361,0.000222664224646751
"AgriculturalPipes","Fresh water",1.81254795858244e-06,6.7256510019902e-07
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",6.98684217534536e-07,2.17966893714087e-07
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.020968787282861,0.00731521224153197
"AgriculturalOther","Soil (MP)",0.00102564555952314,0.000292420989451197
"AgriculturalOther","Fresh water",1.82050871020672e-06,9.0326038759703e-07
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",6.98190227186594e-07,2.91034095246714e-07
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000428805445638794,0.000111215518478812
"Household","Soil (MP)",0.000353299819432072,0.000122018668802138
"Household","Fresh water",1.81004905619165e-06,6.02781899196598e-07
"Household","Fresh water (MP)",3.59981409579247e-05,1.6712371905505e-05
"Household","Subsurface soil (MP)",1.10409378272513e-05,5.07001209329278e-06
"Household","Coastal and ocean water",6.99210853116402e-07,1.96485989216907e-07
"Household","Coastal and ocean water (MP)",5.05683991014599e-05,2.6561835148888e-05
"TamponApplicators","Soil",0.0348838107591592,0.0257802633125082
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00537033148172273,0.00392461317632584
"TamponApplicators","Fresh water (MP)",0,0
