"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",9.26847492432226e-05,1.96973768692301e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.47138078810131e-06,3.55061524668495e-07
"Pre-consumer processes","Subsurface soil (MP)",1.53059018141858e-06,9.74247807691844e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",1.26601672360559e-06,5.20510630102608e-07
"ConsumerFilms","Soil",0.0121249042663606,0.00473186173068902
"ConsumerFilms","Soil (MP)",0.000233952151722517,8.67951272292408e-05
"ConsumerFilms","Fresh water",0.000114310907391634,6.80316010719547e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0.000174117797344149,9.36680773728403e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.0131330793241427,0.00686666252520782
"ConsumerBags","Soil (MP)",0.000233530464353213,0.000110654742045046
"ConsumerBags","Fresh water",0.000125077332492094,9.87707582268965e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0.000192699684356137,0.000142798179019199
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.0131961730682012,0.00951369756284068
"ConsumerBottles","Soil (MP)",4.76442745051906e-05,2.19553994490863e-05
"ConsumerBottles","Fresh water",0.000128036720068112,0.000136188150193611
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0.000193514166381315,0.000186784897434287
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.0058048835750074,0.00173221476012852
"ConsumerOther","Soil (MP)",4.75564195944593e-05,1.62612298651258e-05
"ConsumerOther","Fresh water",4.3832151052244e-05,2.17718768778089e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",6.64960560319997e-05,2.96409264426387e-05
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00366652791389006,0.00113884584123279
"AgriculturalPackagingFilms","Soil (MP)",0.000233713708776366,0.00010940224479863
"AgriculturalPackagingFilms","Fresh water",7.18906765442058e-06,3.54867346374089e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.07528324059565e-05,4.94361328705961e-06
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0151847201703867,0.00786502437800942
"AgriculturalPackagingBottles","Soil (MP)",4.74795035945968e-05,3.03103110905172e-05
"AgriculturalPackagingBottles","Fresh water",7.23005568356916e-06,4.80256253110858e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.08583157937013e-05,6.69499594618656e-06
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.00101286083791743,0.000772773953657135
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00363356235258717,0.00139887439635842
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.00018613384002493,0.000132710388769
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",0.000273052064148878,0.000179383183682566
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.0036194674458949,0.00168435338431015
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000186963721649515,0.00016029899752253
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",0.000273832640928235,0.000215848373301652
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.00362166857767775,0.000938131325174322
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000187561849933963,8.91155989456246e-05
"NonConsumerOther","Fresh water (MP)",0,0
"NonConsumerOther","Subsurface soil (MP)",0,0
"NonConsumerOther","Coastal and ocean water",0.000276635882487243,0.0001223691217224
"NonConsumerOther","Coastal and ocean water (MP)",0,0
"PipesDucts","Soil",0,0
"PipesDucts","Soil (MP)",8.9940919875445e-07,1.07743379248366e-07
"PipesDucts","Fresh water",0,0
"PipesDucts","Fresh water (MP)",0,0
"PipesDucts","Subsurface soil (MP)",6.29866388454558e-06,7.59002262320193e-07
"PipesDucts","Coastal and ocean water",0,0
"PipesDucts","Coastal and ocean water (MP)",0,0
"Insulation","Soil",0.000871711956219449,0.000618191324588877
"Insulation","Soil (MP)",8.53841428546131e-05,1.87861844250526e-05
"Insulation","Fresh water",1.78118250010549e-05,1.43024961795623e-05
"Insulation","Fresh water (MP)",1.93440676493806e-06,1.15567824742973e-06
"Insulation","Subsurface soil (MP)",0,0
"Insulation","Coastal and ocean water",0.000113181770171793,9.00724764913671e-05
"Insulation","Coastal and ocean water (MP)",1.24941400950426e-05,7.61246160108982e-06
"WallFloorCoverings","Soil",0.00100353107647849,0.000800970021877038
"WallFloorCoverings","Soil (MP)",0.000341130214952248,0.000274411943656514
"WallFloorCoverings","Fresh water",0,0
"WallFloorCoverings","Fresh water (MP)",8.83233048566277e-06,8.34223937092167e-06
"WallFloorCoverings","Subsurface soil (MP)",1.24260510186911e-05,1.15917799103661e-05
"WallFloorCoverings","Coastal and ocean water",0,0
"WallFloorCoverings","Coastal and ocean water (MP)",5.22774648252785e-05,5.25177083883641e-05
"WindowsProfilesFittedFurniture","Soil",0,0
"WindowsProfilesFittedFurniture","Soil (MP)",0,0
"WindowsProfilesFittedFurniture","Fresh water",0,0
"WindowsProfilesFittedFurniture","Fresh water (MP)",0,0
"WindowsProfilesFittedFurniture","Subsurface soil (MP)",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water",0,0
"WindowsProfilesFittedFurniture","Coastal and ocean water (MP)",0,0
"Lining","Soil",0.00101119995860391,0.000803007193942398
"Lining","Soil (MP)",0,0
"Lining","Fresh water",0,0
"Lining","Fresh water (MP)",0,0
"Lining","Subsurface soil (MP)",0,0
"Lining","Coastal and ocean water",0,0
"Lining","Coastal and ocean water (MP)",0,0
"AutomotivePC","Soil",0.000693481324957995,0.00016187445199434
"AutomotivePC","Soil (MP)",0,0
"AutomotivePC","Fresh water",0,0
"AutomotivePC","Fresh water (MP)",0,0
"AutomotivePC","Subsurface soil (MP)",0,0
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.00257838282240291,0.000966523980084619
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",7.20269819235542e-06,3.21680894637533e-06
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",1.07541831322054e-05,4.38417711650425e-06
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00470684481434901,0.00173669485701608
"AgriculturalFilms","Soil (MP)",0.0256208085771674,0.00646774848686585
"AgriculturalFilms","Fresh water",7.1493807673326e-06,4.73006558884572e-06
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",1.07207201961689e-05,6.59929786940352e-06
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0326314671689888,0.010046153131649
"AgriculturalPipes","Soil (MP)",0.00104696260452535,0.00021919127063052
"AgriculturalPipes","Fresh water",7.1752715728598e-06,2.57288452130071e-06
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",1.07520965398559e-05,3.60422027672136e-06
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0232133629071543,0.0074417855596317
"AgriculturalOther","Soil (MP)",0.00104854031663535,0.000295444882268925
"AgriculturalOther","Fresh water",7.16453495453113e-06,3.35379229412545e-06
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
