"prod","mat","dest","mean","sd"
"Pre-consumer processes","LDPE","Soil",0,0
"Pre-consumer processes","LDPE","Soil (MP)",4.69851771998427e-05,4.35055612189284e-05
"Pre-consumer processes","LDPE","Fresh water",0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.75587005752644e-07,7.83369978905366e-08
"Pre-consumer processes","LDPE","Subsurface soil (MP)",5.14391180856909e-08,5.72761742549673e-08
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.49918748700976e-07,1.31384149448694e-07
"Pre-consumer processes","HDPE","Soil",0,0
"Pre-consumer processes","HDPE","Soil (MP)",4.14757018078444e-05,4.08535022259314e-05
"Pre-consumer processes","HDPE","Fresh water",0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.34933292676784e-07,7.66921599033595e-08
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.09041881870466e-07,2.30097522349489e-07
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",8.17998136876384e-08,9.73473281073519e-08
"Pre-consumer processes","PP","Soil",0,0
"Pre-consumer processes","PP","Soil (MP)",3.62800369587457e-05,3.53306741825551e-05
"Pre-consumer processes","PP","Fresh water",0,0
"Pre-consumer processes","PP","Fresh water (MP)",4.32467147910015e-07,3.64668007754868e-07
"Pre-consumer processes","PP","Subsurface soil (MP)",1.59474030276625e-06,1.69430559834772e-06
"Pre-consumer processes","PP","Coastal and ocean water",0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.16390750187825e-07,3.30468741682826e-07
"Pre-consumer processes","PS","Soil",0,0
"Pre-consumer processes","PS","Soil (MP)",4.19421687899771e-05,4.1928841715199e-05
"Pre-consumer processes","PS","Fresh water",0,0
"Pre-consumer processes","PS","Fresh water (MP)",9.00583263401912e-08,5.26686653727587e-08
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",7.71366249162675e-08,8.78860508539043e-08
"Pre-consumer processes","EPS","Soil",0,0
"Pre-consumer processes","EPS","Soil (MP)",4.703478323286e-05,5.49785455187758e-05
"Pre-consumer processes","EPS","Fresh water",0,0
"Pre-consumer processes","EPS","Fresh water (MP)",9.84428417629597e-08,7.32388618936721e-08
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",8.33189650659154e-08,1.05290482633227e-07
"Pre-consumer processes","PVC","Soil",0,0
"Pre-consumer processes","PVC","Soil (MP)",4.86663297335477e-05,4.53937956351891e-05
"Pre-consumer processes","PVC","Fresh water",0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.87252232057653e-07,8.44564711927601e-08
