"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000147714898306636,3.07498917060853e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",3.46501467534052e-06,8.92302066205181e-07
"Pre-consumer processes","Subsurface soil (MP)",1.53609232385426e-06,1.04166398720141e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",8.51070932609166e-07,4.77531950971623e-07
"ConsumerFilms","Soil",0.00558602281647168,0.00226342664611896
"ConsumerFilms","Soil (MP)",0.00014924114921047,5.5008777685499e-05
"ConsumerFilms","Fresh water",0.000195273973083626,0.000108722920243654
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",2.46299318718518e-05,1.04935131938451e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00612333730660347,0.00338619869465382
"ConsumerBags","Soil (MP)",0.000149709159227569,7.18463268530625e-05
"ConsumerBags","Fresh water",0.000217324021948922,0.00016507676958148
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",2.74556175071157e-05,1.59998461212157e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00611112943313987,0.00461640758272374
"ConsumerBottles","Soil (MP)",3.02375217717601e-05,1.39695046304627e-05
"ConsumerBottles","Fresh water",0.000219693998471363,0.000219311099997926
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",2.81589180672569e-05,2.19249120079917e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00217710843251266,0.000744091299467561
"ConsumerOther","Soil (MP)",3.0218852635502e-05,1.03375294053573e-05
"ConsumerOther","Fresh water",6.88410254444386e-05,3.40693226492662e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",8.9142536496951e-06,3.30743435808986e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00139897078970196,0.000353120483526973
"AgriculturalPackagingFilms","Soil (MP)",0.000149387611783787,7.0378800951398e-05
"AgriculturalPackagingFilms","Fresh water",3.2013048566416e-06,1.55164100519699e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",6.44349120829781e-07,2.82107884046169e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0128502110975216,0.00762935600733481
"AgriculturalPackagingBottles","Soil (MP)",3.03627546646723e-05,1.95148649483786e-05
"AgriculturalPackagingBottles","Fresh water",3.20266206028365e-06,2.10584619871185e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",6.39381991217227e-07,3.69270745011011e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000393463933485056,0.00029755230001127
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000819764593258041,0.000325908361221183
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000307158410623835,0.000195556672064907
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
"OtherNonConsumerFilms","Coastal and ocean water",2.14376915555523e-05,1.36409528794057e-05
"OtherNonConsumerFilms","Coastal and ocean water (MP)",0,0
"NonConsumerBags","Soil",0.000822046555606106,0.000397821254850109
"NonConsumerBags","Soil (MP)",0,0
"NonConsumerBags","Fresh water",0.000302920181988734,0.00023420427569485
"NonConsumerBags","Fresh water (MP)",0,0
"NonConsumerBags","Subsurface soil (MP)",0,0
"NonConsumerBags","Coastal and ocean water",2.1310790308567e-05,1.62922337612312e-05
"NonConsumerBags","Coastal and ocean water (MP)",0,0
"NonConsumerOther","Soil",0.000821395910887906,0.000220494859365731
"NonConsumerOther","Soil (MP)",0,0
"NonConsumerOther","Fresh water",0.000306149087430059,0.000131557810051112
"NonConsumerOther","Fresh water (MP)",0,0
