"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000125647737487912,8.60860785915802e-06
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",2.82400687324893e-06,2.50216225859837e-07
"Pre-consumer processes","Subsurface soil (MP)",1.68218619536831e-06,3.34329639116114e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",5.83782529678605e-07,1.23367404239685e-07
"ConsumerFilms","Soil",0.00578583129605661,0.000849378836292925
"ConsumerFilms","Soil (MP)",0.000192334638786039,2.90393427814302e-05
"ConsumerFilms","Fresh water",0.000101307935586606,1.98104149814627e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",5.29836363957739e-05,1.58527458947148e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00635885912786979,0.00126893120751347
"ConsumerBags","Soil (MP)",0.000192453202416413,3.68190026336157e-05
"ConsumerBags","Fresh water",0.00011289814423951,2.96338586560989e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",5.92012846496977e-05,2.43485729232028e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00640282123674517,0.00172321372716296
"ConsumerBottles","Soil (MP)",3.89738359467528e-05,7.26719002721172e-06
"ConsumerBottles","Fresh water",0.000116542770102501,4.09720963756878e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",6.09670087476449e-05,3.25310328050362e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00234681951101864,0.000292105976459226
"ConsumerOther","Soil (MP)",3.89438104605917e-05,5.41660245996573e-06
"ConsumerOther","Fresh water",3.64446833215997e-05,6.112047292901e-06
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.9220999447762e-05,4.94744678789414e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00162641189122478,0.000184170087689498
"AgriculturalPackagingFilms","Soil (MP)",0.000192419489183453,3.59586112477017e-05
"AgriculturalPackagingFilms","Fresh water",2.80728201525396e-06,6.4766106187703e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.70935429313899e-06,6.71069359847344e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0131515435757038,0.00259520933128452
"AgriculturalPackagingBottles","Soil (MP)",3.87904602050064e-05,1.03940200769036e-05
"AgriculturalPackagingBottles","Fresh water",2.81712704746447e-06,9.18454644628072e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
